stream,run_name,size,N_params,chinchilla_scale,D_tokens,epochs,K,learning_rate,weight_decay,seed,val_loss,perplexity,tokens_evaluated,run_complete,selected_for_scaling_fit,source_file
paraphrase,30M_seed42_dolma_para_K4_wd0.1_lr3e-3,30m,30000000,0.05,30000000,,4,0.003,0.1,42,7.926979032165898,2771.04296875,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K4_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K4_wd0.2_lr3e-3,30m,30000000,0.05,30000000,,4,0.003,0.2,42,7.933131723687207,2788.144775390625,3478624,True,False,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K4_wd0.2_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K8_wd0.1_lr3e-3,30m,30000000,0.05,30000000,,8,0.003,0.1,42,7.729582831363197,2274.653076171875,3478624,True,False,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K8_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K8_wd0.2_lr3e-3,30m,30000000,0.05,30000000,,8,0.003,0.2,42,7.617368108494326,2033.2041015625,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K8_wd0.2_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K16_wd0.1_lr3e-3,30m,30000000,0.05,30000000,,16,0.003,0.1,42,7.1124531482030955,1227.154052734375,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K16_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K32_wd0.1_lr3e-3,30m,30000000,0.05,30000000,,32,0.003,0.1,42,6.420255564351065,614.1600952148438,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K32_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K64_wd0.1_lr3e-3,30m,30000000,0.05,30000000,,64,0.003,0.1,42,5.706656551749723,300.8634338378906,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K64_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K1_wd0.1_lr3e-3,30m,30000000,0.1,60000000,,1,0.003,0.1,42,7.921547716822173,2756.03369140625,3478624,True,True,dolma_para_val_loss/chinchilla_0.1/30M/30M_seed42_dolma_para_K1_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K1_wd0.2_lr3e-3,30m,30000000,0.1,60000000,,1,0.003,0.2,42,7.924889680079412,2765.259033203125,3478624,True,False,dolma_para_val_loss/chinchilla_0.1/30M/30M_seed42_dolma_para_K1_wd0.2_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K2_wd0.1_lr3e-3,30m,30000000,0.1,60000000,,2,0.003,0.1,42,7.665923446513083,2134.363037109375,3478624,True,True,dolma_para_val_loss/chinchilla_0.1/30M/30M_seed42_dolma_para_K2_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K2_wd0.2_lr3e-3,30m,30000000,0.1,60000000,,2,0.003,0.2,42,7.686030994532384,2177.713623046875,3478624,True,False,dolma_para_val_loss/chinchilla_0.1/30M/30M_seed42_dolma_para_K2_wd0.2_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K4_wd0.1_lr3e-3,30m,30000000,0.1,60000000,,4,0.003,0.1,42,7.3287693429234695,1523.5054931640625,3478624,True,False,dolma_para_val_loss/chinchilla_0.1/30M/30M_seed42_dolma_para_K4_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K4_wd0.2_lr3e-3,30m,30000000,0.1,60000000,,4,0.003,0.2,42,7.3114778256420045,1497.38818359375,3478624,True,True,dolma_para_val_loss/chinchilla_0.1/30M/30M_seed42_dolma_para_K4_wd0.2_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K8_wd0.1_lr3e-3,30m,30000000,0.1,60000000,,8,0.003,0.1,42,6.816563834927528,912.8427124023438,3478624,True,True,dolma_para_val_loss/chinchilla_0.1/30M/30M_seed42_dolma_para_K8_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K8_wd0.2_lr3e-3,30m,30000000,0.1,60000000,,8,0.003,0.2,42,6.829670086898494,924.885498046875,3478624,True,False,dolma_para_val_loss/chinchilla_0.1/30M/30M_seed42_dolma_para_K8_wd0.2_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K16_wd0.1_lr3e-3,30m,30000000,0.1,60000000,,16,0.003,0.1,42,6.39759922432018,600.40185546875,3478624,True,True,dolma_para_val_loss/chinchilla_0.1/30M/30M_seed42_dolma_para_K16_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K32_wd0.1_lr3e-3,30m,30000000,0.1,60000000,,32,0.003,0.1,42,5.612311603272745,273.77642822265625,3478624,True,True,dolma_para_val_loss/chinchilla_0.1/30M/30M_seed42_dolma_para_K32_wd0.1_lr3e-3.json
